ID,EHR_kood,TaisAadress,Maakond,KOV,KOV_voi_LinnaOsa,Tänav_Hoone_Nr,Esmane_Kasutuselevotu_Aasta,Ajastu,Hooneosade_Arv,Hooneosade_Arv_Normaliseeritud,Ruumide_Arv,Maksimaalne_Korruste_Arv,Korterite arv trepikojas,Liftid,Trepikodade_Arv,MaaAluste_Korruste_Arv,Korgus,Korgus_Umardatud,Laius,Pikkus,EhitusAlune_Pindala,Suletud_Netopindala,Building_Common_Area,Heated_Area,Välisseina_liik,Valisnurkade Arva,Sisenurkade Arv,Katusekatte materjal,Soojusvarustuse liik,Lamekatus_0/1,kahepoolne_kaldkatus_0/1,ühepoole_kaldkatus_0/1,Lodzad_0/1,Rõdud_0/1,Otstes aknad_0/1,Energy_Certificate_Class,Asein_märgis,Aaken_märgis
137,101024258,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Kanepi tn 7",Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Kanepi tn 7,1959,1951-1960,8,10,36,2,2,0,2,1,12.8,13,11.5,26,270,547.7,161.6,386.1,tellis,4,0,,'kohtküte',0,1,0,0,0,1,E,290.9,61
139,101019047,"Harju maakond, Tallinn, Lasnamäe linnaosa, Pallasti tn 3/2",Harju maakond, Tallinn, Lasnamäe linnaosa, Pallasti tn 3/2,1900,...-1900,5,10,16,2,1,0,2,1,10.4,10.5,6.8,16.8,110,213.2,41.6,162,tellis,5,1,'plekk','kohtküte',1,0,0,0,1,0,F,2011,479
290,101040360,"Harju maakond, Tallinn, Kesklinna linnaosa, A. Weizenbergi tn 12a",Harju maakond, Tallinn, Kesklinna linnaosa, A. Weizenbergi tn 12a,1912,1911-1920,5,10,29,2,1,0,2,1,12.4,12.5,11.4,23.2,247,626.1,111.7,586,puit,4,0,'plekk','kohtküte',0,1,0,0,0,1,E,463.7,99.4
258,101040716,"Harju maakond, Tallinn, Kristiine linnaosa, Västriku tn 2c",Harju maakond, Tallinn, Kristiine linnaosa, Västriku tn 2c,1972,1971-1980,8,10,39,4,2,0,1,1,14.6,14.5,12.4,18.6,257,729.6,186.6,595.7,tellis,6,2,'bituumen või  PVC  plaat või rullmaterjal',"'kaugküte', 'lokaalküte'",1,0,0,1,0,1,E,421.2,122.2
35,108029467,"Lääne-Viru maakond, Rakvere vald, Sõmeru alevik, Puiestee tn 8",Lääne-Viru maakond, Rakvere vald, Sõmeru alevik, Puiestee tn 8,1969,1961-1970,8,10,36,2,2,0,2,1,12.8,13,13,49.8,270,585.9,205.8,380.1,tellis,6,4,'eterniit','kohtküte',0,1,0,0,0,0,E,275,82
221,101025776,"Harju maakond, Tallinn, Kesklinna linnaosa, Kodu tn 16",Harju maakond, Tallinn, Kesklinna linnaosa, Kodu tn 16,1949,1941-1950,5,10,20,3,2,0,1,1,10.7,10.5,10.9,16.9,153,379.5,114.6,379.5,puit,6,2,'plekk','lokaalküte',0,1,0,0,0,1,B,366.9,64.8
58,114012132,"Jõgeva maakond, Põltsamaa vald, Põltsamaa linn, Ringtee tn 17",Jõgeva maakond, Põltsamaa vald, Põltsamaa linn, Ringtee tn 17,1983,1981-1990,8,10,44,2,2,0,2,1,8.2,8,,,391,920.3,169,580.4,suurplokk,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',0,1,0,1,0,1,E,0,0
52,114012134,"Jõgeva maakond, Põltsamaa vald, Põltsamaa linn, Ringtee tn 9",Jõgeva maakond, Põltsamaa vald, Põltsamaa linn, Ringtee tn 9,1977,1971-1980,8,10,44,2,2,0,2,1,6.5,6.5,12.3,35.6,393,941.6,220.6,632.8,suurplokk,12,8,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,1,1,E,496.5,94.8
36,116002028,"Harju maakond, Harku vald, Harkujärve küla, Loodjärve tee 11",Harju maakond, Harku vald, Harkujärve küla, Loodjärve tee 11,1988,1981-1990,8,10,34,2,2,0,2,1,8.2,8,11.7,33.1,374,785,235.4,785,suurplokk,12,8,'plekk',"'kohtküte', 'kaugküte'",0,1,0,1,0,0,D,401,105
132,116017120,"Harju maakond, Raasiku vald, Aruküla alevik, Põllu tn 1",Harju maakond, Raasiku vald, Aruküla alevik, Põllu tn 1,1976,1971-1980,8,10,44,2,2,0,2,1,7.6,7.5,14.5,35.1,397,949,357.4,652,suurplokk,4,0,'bituumen või  PVC  plaat või rullmaterjal','kohtküte',1,0,0,0,0,1,E,887.3,314.7
