Buildings,esmaneKasutus,pindala,mahtBruto,tubadeArv,maxKorrusteArv,ehitisAlunePind,suletudNetoPind
120543544,2016,702.0,6440.0,70,4,690.0,2193.8
120557811,2018,738.3,6440.0,71,4,690.0,2178.4
120815450,2019,703.0,8324.0,81,5,690.0,2434.1
121273086,2020,355.2,3535.0,37,3,394.3,885.6
121273087,2021,391.0,3535.0,37,3,394.3,885.6
121273088,2021,393.0,3535.0,37,3,394.3,885.6
120307684,2007,1053.0,13824.0,100,6,960.0,3460.5
120307701,2008,1068.0,13824.0,100,6,960.0,3460.5
120307706,2008,1066.0,13824.0,100,6,960.0,3460.5
101016325,1965,910.2,13980.0,160,5,861.0,4519.3
101019900,1965,912.5,13808.0,160,5,862.0,4503.6
101016375,1965,931.7,13615.0,160,5,856.0,4508.4
